Time (ms),Rumble Motor (V)
-1.77369649,0.21924500
-1.75321649,0.21924500
-1.73273649,0.21924500
-1.71225649,0.21924500
-1.69177649,0.21924500
-1.67129649,0.21924500
-1.65081649,0.21924500
-1.63033649,0.21924500
-1.60985649,0.21924500
-1.58937649,0.21924500
-1.56889649,0.21924500
-1.54841649,0.21924500
-1.52793649,0.20148320
-1.50745649,0.21924500
-1.48697649,0.20148320
-1.46649649,0.20148320
-1.44601649,0.20148320
-1.42553649,0.20148320
-1.40505649,0.20148320
-1.38457649,0.20148320
-1.36409649,0.20148320
-1.34361649,0.20148320
-1.32313649,0.20148320
-1.30265649,0.20148320
-1.28217649,0.20148320
-1.26169649,0.20148320
-1.24121649,0.20148320
-1.22073649,0.20148320
-1.20025649,0.20148320
-1.17977649,0.20148320
-1.15929649,0.20148320
-1.13881649,0.20148320
-1.11833649,0.20148320
-1.09785649,0.20148320
-1.07737649,0.20148320
-1.05689649,0.20148320
-1.03641649,0.20148320
-1.01593649,0.20148320
-0.99545649,0.20148320
-0.97497649,0.20148320
-0.95449649,0.20148320
-0.93401649,0.20148320
-0.91353649,0.20148320
-0.89305649,0.20148320
-0.87257649,0.20148320
-0.85209649,0.18366040
-0.83161649,0.18366040
-0.81113649,0.18366040
-0.79065649,0.18366040
-0.77017649,0.18366040
-0.74969649,0.20148320
-0.72921649,0.18366040
-0.70873649,0.18366040
-0.68825649,0.18366040
-0.66777649,0.18366040
-0.64729649,0.18366040
-0.62681649,0.18366040
-0.60633649,0.18366040
-0.58585649,0.21924500
-0.56537649,0.21924500
-0.54489649,0.21924500
-0.52441649,0.21924500
-0.50393650,0.21924500
-0.48345650,0.21924500
-0.46297650,0.20148320
-0.44249650,0.20148320
-0.42201650,0.20148320
-0.40153650,0.20148320
-0.38105650,0.20148320
-0.36057650,0.21924500
-0.34009650,0.21924500
-0.31961650,0.20148320
-0.29913650,0.21924500
-0.27865650,0.21924500
-0.25817650,0.21924500
-0.23769650,0.20148320
-0.21721650,0.21924500
-0.19673650,0.20148320
-0.17625650,0.21924500
-0.15577650,0.20148320
-0.13529650,0.20148320
-0.11481650,0.21924500
-0.09433650,0.20148320
-0.07385650,0.20148320
-0.05337650,0.20148320
-0.03289650,0.20148320
